#timestep time dt l2_h l2_h_vcon1 l2_h_vcon2 linf_h linf_h_vcon1 linf_h_vcon2 dsdu_ut entropy h_squared 
0 0.0 100.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.0369060107578843e-13 7.386484226903813e8 1.0403545058073367e8
200 91906.136938021 460.91254634194195 22.737871395550975 0.005978391719556819 0.005088556581834859 91.16170708918071 0.06810045894744736 0.07763448890948448 -1.8017161179835576e-13 7.386484226241206e8 1.0403399029668051e8
400 183926.74942067315 462.8916845868343 25.376714628936284 0.005597044671031798 0.004918987477860955 93.29098371557393 0.08042085706753287 0.0847044088243405 -5.314449719439936e-13 7.386484225374888e8 1.0402951741602732e8
600 274691.62888458895 455.97975033947 19.212454745816093 0.004618485633635559 0.003942284882106667 93.4188958357679 0.03923735504176009 0.04384247134134453 -4.898951920802911e-13 7.386484224431841e8 1.0403382440554923e8
800 367031.67926889943 459.79862713343175 19.159557359849707 0.007247108575208938 0.006676107155601808 101.73908646546352 0.09497906071359122 0.12022724741511401 1.3947979199083595e-13 7.386484223291757e8 1.0403535457507749e8
1000 458258.53382296226 461.69563166085794 26.846553869564893 0.006389060390829984 0.005270867926196276 120.16272072837319 0.09131733840801994 0.07165062328027187 2.7013485197522183e-13 7.386484222199882e8 1.0403679884317534e8
1200 549255.9549698976 461.5409984531165 29.210388872198536 0.007135089971591291 0.005280458838333145 159.67657117187719 0.06498633658157277 0.03918999320066406 4.620727731155111e-14 7.386484221092366e8 1.0403445045464385e8
1400 642181.6581380053 465.8247213342379 21.938350841618803 0.00961884623044261 0.0075055304291214014 117.09646991024238 0.09990646972214429 0.15397807162462346 3.3325619896580226e-13 7.386484219718252e8 1.0403615198739219e8
1600 733998.3555664729 454.4771549580682 25.05626723103747 0.0073896298636538385 0.006320714754212225 138.88245265365458 0.07234715787217794 0.0601106331545633 4.977393983082468e-13 7.386484218291115e8 1.0403553553871883e8
1800 825617.6574548245 465.25265517065793 33.461308612622595 0.008759230562662906 0.00598175978934133 112.80658619526366 0.068449254289828 0.05713703722827621 -4.1935861888984644e-13 7.38648421698262e8 1.0404472083908845e8
2000 918873.4008213314 465.55843856621 26.640209625249152 0.010713985446278272 0.0071586788070871765 166.86115557173616 0.07430836800640905 0.10091636427329584 -2.409642100650119e-13 7.386484215507947e8 1.0403603554417588e8
2200 1.0113743338555718e6 462.4361855166435 24.718510084896145 0.008389582628686805 0.005419897045594622 184.92230864393105 0.054362070093129405 0.036433506741273936 2.2061830016125198e-15 7.386484214085912e8 1.040326207927856e8
2400 1.1030446145912632e6 454.5804984506226 30.550096258507665 0.009312545342046303 0.006775012967399965 167.65794629482366 0.09599933801924199 0.08413159374617325 -5.618412710773217e-13 7.386484212685462e8 1.0403065469133936e8
2600 1.1957515702104077e6 466.364956011892 30.583362920427568 0.010295512080810119 0.0071155881541975705 142.08720409208308 0.12859407131374026 0.10513657518838593 3.6984206707587656e-13 7.386484211248868e8 1.0403082465495713e8
2800 1.2876997791900514e6 464.57698776022875 23.815470387927576 0.00816719927233872 0.005934859705906373 182.3540362249214 0.0683668320590459 0.05964810309543204 3.886865468813168e-13 7.386484209808201e8 1.0403323574755801e8
2818 1.296e6 388.75648361537606 25.919851193027192 0.007976046869500033 0.006004868977618129 110.53007632096887 0.07321463393268095 0.06143354028410311 3.288438329625772e-13 7.386484209663779e8 1.0403192354013051e8
